id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<pages>	score<doi>	score<pages doi>	score<isbn>	score<pages isbn>	score<references>
american television	0.8347	-0.1301	2	1966	1867955	1876	0.0933	4.051	1.2974	28.731	1.3875
amiga	0.6361	0.6605	2	555	9403	34	0.1176	11.765	0.4706	17.647	0.5882
amphibian and reptile	-0.1022	0.9706	1	1503	224239	1026	5.5634	71.832	1.4045	39.864	6.8996
amusement park	0.9206	-0.1543	2	1701	180553	675	0.0578	1.926	0.6044	23.852	0.6563
anabaptist	-0.6458	0.5807	4	1478	143369	150	0.6733	13.333	3.48	46.667	4.1133
analytic philosophy	-0.3807	0.654	4	1185	118595	75	2.1867	56	4.6667	70.667	6.6667
anarchism	-0.3879	0.3573	4	1625	600350	406	1.133	34.483	4.8818	65.271	5.9138
anatomy	0.1231	0.9444	1	1774	429681	1070	9.5056	78.224	3.3953	68.972	12.6981
ancient egypt	-1.0761	0.4832	4	1621	470112	553	1.2731	29.114	6.2911	62.387	7.5425
ancient germanic studies	-0.8543	0.2745	4	1346	172557	170	0.7882	30.588	6.2647	71.176	6.9824
ancient near east	-1.0337	0.5494	4	1797	1461192	993	1.0504	30.211	7.4864	69.587	8.4683
ancient philosophy	-0.6032	0.7378	4	1566	566577	273	1.9304	39.56	9.4542	75.092	11.1722
andaman and nicobar islands	-0.5922	0.8568	4	924	18010	18	3.5556	50	8.0556	88.889	11.6111
andhra pradesh	-0.3315	0.9147	4	1352	101855	191	0.1675	9.424	2.5393	36.649	2.7016
andorra	-0.6937	-0.0416	4	1679	177960	65	1.1077	30.769	6.4615	55.385	7.5077
anglicanism	-0.635	0.4377	4	1907	1880919	2747	0.3153	10.703	2.9465	50.164	3.2472
anglo-saxon kingdoms	-0.7045	0.2865	4	1336	312171	462	1.4372	33.983	6.5628	66.45	7.9004
angola	-0.5992	0.0833	1	1474	106566	172	2.064	33.721	3.8547	42.442	5.8663
anguilla	-0.5022	-0.0889	1	1248	23823	22	0.4091	18.182	6.5	45.455	6.9091
animal	-0.1125	0.9033	1	1629	394924	853	8.6342	72.685	2.4572	49.707	10.9039
animal anatomy	0.0309	0.9602	1	1584	205210	293	13.9386	84.3	6.1843	76.792	19.8737
animal rights	0.0597	0.5481	1	1860	516248	566	3.6625	32.155	2.818	46.466	6.3746
animated films	0.9601	0.1023	2	1715	450334	534	0.0655	3.371	2	43.446	2.0506
animated television	1.0027	-0.0376	2	1653	381230	671	0.0387	2.981	1.0864	39.642	1.1252
animation	0.9509	0.0382	2	1874	1483383	2369	0.0785	3.883	1.7142	47.446	1.7877
animation people	0.9057	0.057	2	1534	151975	164	0.0854	4.268	3.1159	65.244	3.1951
anime and manga	0.8892	0.3067	2	1658	438977	2195	0.0893	4.237	1.9749	35.08	2.0569
anomalous tropical cyclone	-0.0344	-0.9806	1	435	5722	18	2.4444	44.444	0	0	2.4444
ant task force	-0.0448	0.934	1	965	22287	138	11.8261	90.58	2.3116	47.101	14.0145
antarctic chilean territory	-0.4052	-0.3493	1	992	15902	10	4.5	70	4.3	70	8.7
antarctica	-0.4523	-0.3957	1	1635	223261	327	2.9755	42.202	2.1376	48.93	4.9755
anthropology	-0.3172	0.4954	4	1941	1020904	1072	7.9263	60.541	6.0896	66.325	13.8134
anthroponymy	-0.4291	0.0608	4	1618	130025	142	0.6761	11.268	2.0704	42.958	2.7324
anti-war	-0.0548	0.0147	4	1768	320128	248	0.629	19.355	4.3226	60.484	4.9274
antigua and barbuda	-0.3215	-0.2256	1	1343	34669	36	0.1389	11.111	1.3056	50	1.4167
appalachia	0.2225	-0.7462	3	1652	144815	214	0.8271	13.551	1.8598	45.794	2.6636
apple corps and apple records	0.8044	0.5076	2	1430	166100	172	0.0174	1.744	9.9186	75.581	9.936
apple inc.	0.6016	0.5998	2	1812	437507	753	0.1355	5.445	0.757	25.365	0.8712
applied linguistics	-0.3572	0.467	4	1739	278503	498	4.6406	47.39	3.3735	60.643	7.753
apps	0.5897	0.5153	2	1944	495376	312	0.4968	10.577	0.3974	16.346	0.8109
aqua teen hunger force	1.0114	-0.0743	2	430	3014	8	0	0	0.375	12.5	0.375
aquarium fishes	-0.063	0.881	1	998	17732	95	4.3684	55.789	1.2632	42.105	5.6
arab world	-1.0559	0.137	4	1902	1671957	982	1.113	30.55	6.8228	63.136	7.8758
archaeology	-0.8205	0.3151	4	1868	1467736	2700	1.9307	34.815	3.3748	56.704	5.2219
architecture	-0.4891	0.2958	5	2042	3686761	10671	0.1638	6.832	1.7379	43.51	1.894
archives of american art-related	0.2027	0.0835	2	1461	134717	219	0.3242	18.721	2.8037	57.078	3.0959
arctic	-0.3896	-0.4846	1	1749	406796	346	4.1994	39.306	3.1994	59.538	7.2861
argentine	-0.2641	-0.3433	1	1854	569604	1574	0.5457	9.72	1.1283	25.985	1.6487
argentine antarctica	-0.4114	-0.3606	1	1004	18275	14	3.2143	50	3.9286	71.429	7.0714
argentine cinema	0.576	0.0918	2	686	6737	25	0.04	4	1.08	32	1.12
ariana grande	0.8384	0.3918	2	965	33969	43	0.0233	2.326	0.0233	2.326	0.0465
arizona	0.2948	-0.6696	3	1853	563764	950	0.3021	8.737	1.6432	36.526	1.9379
arizona road transport	0.3715	-0.9618	3	544	12994	84	0	0	0.3214	11.905	0.3214
arkansas	0.017	-0.858	3	1746	453083	623	0.1942	6.581	0.9213	23.917	1.114
arkansas road transport	0.3697	-0.9813	3	457	14818	161	0	0	0.0559	3.106	0.0559
armenian	-1.0611	0.0756	4	1725	507032	660	0.4606	17.576	4.6288	56.061	5.0576
arminianism	-0.6352	0.6067	4	1627	240804	165	0.7758	13.939	6.7152	60	7.4485
arrested development	0.7672	-0.103	2	271	1730	4	0	0	0.5	25	0.5
arrowverse	1.0574	0.1019	2	777	39915	65	0	0	0.5231	10.769	0.5231
arsenal f.c.	0.6249	-0.9575	5	1106	179403	233	0.0086	0.858	0.9571	34.335	0.9657
arthropods	-0.0754	0.8968	1	1438	146051	739	4.3518	76.455	1.5751	52.097	5.8417
arts in brazil	0.4323	0.2484	2	1360	51408	180	0.2111	11.111	0.9389	33.333	1.1389
aruba	-0.4565	-0.1032	1	1364	35683	41	0.6098	7.317	1.3171	31.707	1.9268
arunachal pradesh	-0.6045	0.8758	4	556	6680	11	0.7273	27.273	5.2727	54.545	5.9091
asia	-0.6167	0.1513	4	1936	1145170	339	2.3363	39.233	8.7404	53.392	10.9528
asia road transport	-0.5087	0.0618	5	708	16823	128	0	0	0.125	7.031	0.125
asian americans	0.2383	-0.2743	3	1820	346920	571	0.6743	16.287	3.1278	40.63	3.7776
asian animation	0.9033	0.2768	2	1072	26945	33	0.1515	12.121	2.697	51.515	2.8485
asian games	0.5238	-0.4971	3	1032	36254	182	0	0	0.0659	3.297	0.0659
asian military history	-0.5797	-0.647	6	1974	5943964	7636	0.1717	6.823	3.1086	47.813	3.274
assam	-0.5697	0.8945	4	1239	46711	72	0.8889	23.611	2.0694	45.833	2.9444
assyrian	-1.1437	0.4329	4	1725	423904	272	1.1471	28.309	6.6838	69.485	7.7647
astrology	-0.7919	0.4787	4	1444	130060	126	2.6667	45.238	7.3095	73.016	9.8651
astronomical objects	-0.1831	0.6863	1	1500	298329	896	9.8783	87.946	1.683	41.518	11.3951
astronomy	-0.2076	0.6652	1	1835	985182	2253	7.767	73.68	2.6538	51.576	10.2592
atheism	-0.484	0.4755	4	1874	689862	260	2.2077	43.077	12.0962	72.692	14.1769
athletics	0.5873	-0.5921	3	1822	502376	1519	0.1336	3.489	0.5806	17.446	0.7136
atlanta	0.5602	-0.2709	3	1860	347624	302	0.1755	7.616	1.8311	34.106	2
atlanta braves	0.9414	-0.5658	3	1249	316189	270	0.0111	1.111	1.0296	33.333	1.0407
atlantic hurricane	0.0507	-0.9968	1	1401	313955	814	0.7703	30.59	0.4361	18.55	1.2015
austin	0.6726	-0.219	3	1586	105335	180	0.05	3.889	1.0889	27.778	1.1389
australia	-0.1276	0.2529	1	2049	6153860	19742	0.3936	8.596	1.4596	39.494	1.8491
australia road transport	-0.0787	0.3382	1	671	31085	117	0.0342	2.564	1.0513	40.171	1.0855
"australia, new zealand and south pacific military history"	-0.9759	-0.7256	6	1898	2845149	3128	0.1013	3.868	4.3325	68.191	4.4306
australian antarctic territory	-0.3958	-0.3472	1	972	19169	33	1.3333	18.182	1.0909	27.273	2.4242
australian baseball	0.1895	0.1644	1	580	8781	33	0	0	1.3636	39.394	1.3636
australian basketball	0.7535	-0.3856	3	582	16812	75	0	0	0.0533	2.667	0.0533
australian biota	-0.0894	0.816	1	1393	350504	1518	2.9875	50.132	2.3406	67.589	5.3123
australian capital territory road transport	-0.0708	0.334	1	121	937	6	0	0	0	0	0
australian cinema	0.7251	0.178	2	1525	90334	203	0.1034	4.926	1.3005	27.094	1.399
australian crime	-0.1939	0.278	1	1436	120374	448	0.1071	4.911	1.2076	37.723	1.3103
australian exploration	-0.2208	0.2781	1	1140	46603	79	0.2532	16.456	2.8861	69.62	3.1139
australian history	-0.4927	0.0645	1	1416	156502	246	0.4431	13.415	2.5976	48.78	3.0366
australian law	-0.1783	0.291	1	1225	73958	374	0.0989	6.15	0.7995	30.749	0.8957
australian literature	0.1275	0.3396	1	1268	53100	327	0.0826	4.587	1.6361	38.532	1.7187
australian maritime history	-1.062	-0.7982	6	1303	283053	623	0.0754	3.21	2.3002	61.637	2.3724
australian motorsport	0.2948	-0.0731	1	696	26743	115	0	0	0.3478	24.348	0.3478
australian music	0.5616	0.4195	2	1681	540394	2281	0.011	0.833	1.1714	43.753	1.1824
australian places	-0.1217	0.3288	1	1537	294766	1128	0.031	2.748	0.648	36.525	0.6791
australian politics	-0.184	0.2197	1	1516	354665	1331	0.0894	5.109	0.9647	44.328	1.0518
australian rules football	-0.0422	0.2911	1	1258	107371	473	0.074	2.114	0.5603	22.833	0.63
australian sports	0.2731	0.0428	1	1516	262729	950	0.0095	0.737	1.1305	26.632	1.1389
australian television	0.5549	0.4582	2	1668	247620	712	0.0126	0.983	0.6545	21.91	0.6671
austria	-0.9459	-0.2603	6	1966	1479524	1331	0.4373	12.923	3.3907	44.778	3.7979
austria-hungary	-1.114	-0.2986	6	1665	300614	107	0.6449	13.084	5.486	49.533	6
autism	0.2659	0.7293	1	1720	226102	249	21.8514	69.88	5.241	68.273	26.7871
automobile	-0.1797	-0.5858	1	1931	734170	2363	0.2218	6.771	1.6665	44.181	1.8735
avatar: the last airbender	0.9979	-0.0648	2	489	4692	13	0	0	1.6154	61.538	1.6154
aviation	-0.7543	-1.09	6	2008	7219355	16991	0.0366	1.742	0.9836	37.29	1.0177
aviation accident	-0.7733	-0.2692	6	1661	286088	974	0.0595	3.285	0.6129	23.306	0.6704
awake	0.752	-0.089	2	467	4820	18	0	0	0	0	0
