id	weight<pages>	score<doi>	score<pages doi>	score<isbn>	score<pages isbn>	score<references>
albemarle county	238	0.5966386554621849	10.504	2.092436974789916	36.555	2.689075630252101
alberta	748	0.48128342245989303	8.957	1.5307486631016043	32.754	2.0120320855614975
alberta road transport	30	0.0	0.0	0.26666666666666666	16.667	0.26666666666666666
album	8949	0.0053637277908146165	0.369	1.2410325175997319	30.629	1.2463962453905464
algae	189	11.973544973544973	74.074	2.5502645502645502	55.026	14.523809523809524
algeria	279	0.8387096774193549	21.864	3.6236559139784945	42.652	4.462365591397849
alien	35	0.17142857142857143	11.429	1.8285714285714285	48.571	2.0
alphabet	5	0.8	40.0	1.8	60.0	2.6
altered states of consciousness	55	22.2	92.727	13.10909090909091	94.545	35.30909090909091
alternate history	76	0.18421052631578946	10.526	2.1052631578947367	47.368	2.289473684210526
alternative education	65	3.5384615384615383	36.923	4.461538461538462	58.462	8.0
alternative medicine	424	11.393867924528301	72.406	5.693396226415095	73.349	17.087264150943398
alternative music	1652	0.012711864406779662	0.787	1.2185230024213074	33.898	1.2312348668280872
alternative views	559	5.910554561717352	54.383	8.021466905187836	74.776	13.932021466905187
amateur radio	68	0.3382352941176471	17.647	1.5735294117647058	51.471	1.911764705882353
american animation	1373	0.037144938091769844	2.84	1.8790968681718865	50.401	1.9162418062636561
american cinema	4819	0.07926955799958497	4.607	1.7989209379539324	37.912	1.8781904959535174
american civil war	4185	0.05185185185185185	2.366	1.1930704898446833	28.315	1.2449223416965352
american currency	114	0.043859649122807015	3.509	0.631578947368421	24.561	0.6754385964912281
american football	156	0.4358974358974359	7.692	1.5897435897435896	29.487	2.0256410256410255
american music	575	0.09043478260869565	4.174	3.177391304347826	41.739	3.267826086956522
american old west	480	0.5604166666666667	18.958	5.385416666666667	69.792	5.945833333333334
american open wheel racing	212	0.014150943396226415	1.415	0.4858490566037736	25.0	0.5
american politics	1432	1.0726256983240223	23.883	4.744413407821229	42.947	5.817039106145251
american revolutionary war	1025	0.14536585365853658	7.22	3.2809756097560974	63.024	3.426341463414634
american samoa	65	0.5538461538461539	18.462	0.9230769230769231	33.846	1.476923076923077
american television	1876	0.09008528784648187	3.891	1.2974413646055436	28.731	1.3875266524520256
amiga	34	0.11764705882352941	11.765	0.47058823529411764	17.647	0.5882352941176471
